This tab has one table with population components for States and Territories in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AC18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Population components, States and Territories, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,100364,60499,39865,108784,148119,-39335,152865,83753,69112,92677,61124,31553,82008,116166,-34158,250037,72937,177100,90179,58629,31550,81732,112597,-30865,217211,79781,137430,,,,,,,,,,,,
2,Victoria,77745,46121,31624,91827,106692,-14865,129308,63258,66050,74443,46388,28055,74188,76051,-1863,212150,52732,159418,76770,45182,31588,74731,74067,664,190435,60209,130226,,,,,,,,,,,,
3,Queensland,62762,36037,26725,147003,98223,48780,65435,35813,29622,59437,38169,21268,107935,75680,32255,124522,38509,86013,58258,37255,21003,106509,76599,29910,116015,43572,72443,,,,,,,,,,,,
4,South Australia,19391,15330,4061,32615,32384,231,23154,8832,14322,18604,15748,2856,24682,25091,-409,38166,8856,29310,18562,15209,3353,23419,24988,-1569,32837,9582,23255,,,,,,,,,,,,
5,Western Australia,33434,16681,16753,45378,35039,10339,36359,21022,15337,31420,17687,13733,36777,25147,11630,87285,20680,66605,31173,17600,13573,36205,26463,9742,81780,23779,58001,,,,,,,,,,,,
6,Tasmania,5834,4997,837,16518,16897,-379,5378,2024,3354,5737,5217,520,12625,15222,-2597,7235,2471,4764,5554,5189,365,12674,15231,-2557,6241,2291,3950,,,,,,,,,,,,
7,Northern Territory,3597,1295,2302,18466,21026,-2560,5174,2839,2335,3490,1281,2209,14118,17385,-3267,6589,2697,3892,3421,1251,2170,13428,17203,-3775,5490,1878,3612,,,,,,,,,,,,
8,Australian Capital Territory,5593,2361,3232,23159,25370,-2211,8965,5579,3386,5189,2545,2644,19720,21311,-1591,13307,4916,8391,5113,2313,2800,19753,21303,-1550,11701,5455,6246,,,,,,,,,,,,
9,Other Territories,25,27,-2,0,0,0,90,18,72,42,20,22,0,0,0,81,56,25,27,35,-8,0,0,0,62,27,35,,,,,,,,,,,,
,Total Australia,308745,183348,125397,483750,483750,0,426728,223138,203590,291039,188179,102860,372053,372053,0,739372,203854,535518,289057,182663,106394,368451,368451,0,661772,226574,435198,,,,,,,,,,,,
Â© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
