Use Case Area,Planning Question,Key Datasets,How to Do It (Steps),Example Output/Link,Notes
Collections (Languages),What languages should each branch prioritise?,ABS Census 2021 (Language Spoken at Home); ABS Data by Region,Export Language Spoken at Home by SA2/LGA near each branch; rank languages by share; map across branches.,https://www.abs.gov.au/census/find-census-data,Use SA2s intersecting each branch walk-shed for precision.
Collections (Children),Where to scale early years collections?,ABS Census (Age 0–4, 5–9); AEDC,Extract age counts by SA2 and overlay AEDC vulnerability; prioritise picture books and early readers.,https://www.aedc.gov.au/data,Combine with school intake zones.
Digital Inclusion,Where is home internet access low?,ABS Census (Internet access in dwellings); SEIFA,Map SA1/SA2 with low internet access and high disadvantage; expand PC bookings, Wi‑Fi, device lending.,https://www.abs.gov.au/census/find-census-data,Consider evening/weekend access.
Programs (Job Seekers),Where to run job help workshops?,DEWR SALM (unemployment rate); ABS Business Counts,Identify LGAs with higher unemployment; schedule résumé workshops and small business basics accordingly.,https://www.dewr.gov.au/small-area-labour-markets,Partner with local employment services.
Programs (Seniors),Where to focus digital literacy for seniors?,ABS ERP by Age; TfNSW GTFS/Stops,Find SA2s with high 65+ share; check nearest stops/routes; time sessions off-peak.,https://opendata.transport.nsw.gov.au/,Consider accessibility and parking.
Programs (Youth and HSC),Where is demand for study space highest?,NSW Schools enrolments; ABS Age 15–19; TfNSW routes,Locate branches near large high schools; align extended hours during exam periods.,https://data.cese.nsw.gov.au/data/dataset/schools-and-students,Offer quiet zones and invigilation.
Outreach (Underserved),Which neighbourhoods need more outreach?,SEIFA 2021; ABS Census income; Council facilities,Select lowest SEIFA quintile SA2s; plan pop-ups at community centres/parks.,https://www.abs.gov.au/statistics/people/disability-ageing-and-carers/socio-economic-indexes-areas-seifa/latest-release,Bring multilingual staff/materials.
Opening Hours,How to align hours with travel patterns?,Opal aggregated tap on/off; Pedestrian & Cycle Counts,Plot peaks at nearby stations/stops and CBD pedestrian sensors; adjust hours.,https://opendata.transport.nsw.gov.au/dataset/opal-tap-on-and-tap-off,Check school-day effects.
New Branch Case,Where to justify a new branch?,ABS ERP growth; NSW Projections; DAs; TfNSW access,Combine growth trends and projections; overlay large DA sites; assess transport catchments.,https://www.planning.nsw.gov.au/population-projections,Add peer benchmarking from NSW public library stats.
Marketing & Outreach,Which channels/languages to use?,Census Language & Country of Birth; Settlement Data,Extract top languages per SA2/LGA and recent arrivals; prepare translated comms.,https://www.homeaffairs.gov.au/research-and-stats/settlement-reports,Target suburbs with new humanitarian arrivals.
Health Literacy,Where to run health info sessions?,HealthStats NSW indicators; Hospital locations,Identify LGAs with higher diabetes/mental health rates; partner with nearby health facilities.,https://www.healthstats.nsw.gov.au/,Offer privacy-friendly signposting.
Safety & Security,How to schedule after-hours safely?,BOCSAR recorded crime (time of day),Check suburb/LGA incident trends after dark; adjust staffing and closing routines.,https://www.bocsar.nsw.gov.au/Pages/bocsar_datasets.aspx,Coordinate with local police/wardens.
Space Planning,Where is dwelling density increasing?,NSW Housing Supply Dashboard; DAs; Zoning,Map approvals/completions near branches; check rezoning (LEP) for future density.,https://www.planning.nsw.gov.au/housing,Prepare for higher study space demand.
Catchment Mapping,How to define branch catchments?,ASGS SAL/SA2; NSW Admin Boundaries; G‑NAF (internal),Use SAL/SA2 overlays and walking isochrones; aggregate member addresses (privacy-safe).,https://data.nsw.gov.au/data/dataset/nsw-administrative-boundaries,Use aggregated 6+ households threshold per mesh block.